Name,Country_of_Operator,Operator_Owner,Users,Purpose,Class_of_Orbit,Type_of_Orbit,Perigee_km,Apogee_km,Eccentricity,Period_minutes,Launch_Mass_kg,Dry_Mass_kg,Power_watts,Date_of_Launch,Anticipated_Lifetime,Contractor,Country_of_Contractor,Launch_Site,Launch_Vehicle,Source_Used_for_Orbital_Data,longitude_radians_of_geo,Inclination_radians
AAUSat-3,Denmark,Aalborg University,Civil,Technology Development,LEO,NaN,770,787,0.00119,100.42,0.8,NaN,NaN,41330,1,Aalborg University,Denmark,Satish Dhawan Space Center,PSLV,SC - ASCR,NaN,1.721418241
"ABS-1 (LMI-1, Lockheed Martin-Intersputnik-1)",International,Asia Broadcasting Satellite,Commercial,Communications,GEO,NaN,35777,35794,2.00E-004,1436.08,2894,1730,6800,36429,15,Lockheed Martin,USA,Baikonur Cosmodrome,Proton,JM/12_08,1.309520538,0.000174533
"ABS-1A (Koreasat 2, Mugunghwa 2, ABS-1A)",International,Asia Broadcasting Satellite,Commercial,Communications,GEO,NaN,35785,35789,5.00E-005,1436.13,1459,800,1600,35078,10,Lockheed Martin Astro Space,USA,Cape Canaveral,Delta 2,JM/12_08,2.03400671,0.032463124
"ABS-2i (MBSat, Mobile Broadcasting Satellite, Han Byul)",China (PR),Asia Broadcasting Satellite,Commercial,Communications,GEO,NaN,35780,35793,0.00015,1436.1,4143,1700,7400,38059,12,Space Systems/Loral,USA,Cape Canaveral,Atlas 3,JM/12_08,1.308996939,0.000174533
"ABS-7 (Koreasat 3, Mugungwha 3)",International,Asia Broadcast Satellite,Commercial,Communications,GEO,NaN,35780,35791,0.00013,1436.06,3500,1800,4800,36407,15,Lockheed Martin Astro Space,USA,Guiana Space Center,Ariane,JM/12_08,2.027723525,0.000174533
AcrimSat (Active Cavity Radiometer Irradiance Monitor),USA,"NASA Goddard Space Flight Center, Jet Propulsion Laboratory",Government,Solar Physics,LEO,Sun-Synchronous,670,710,0.00283,98.6,115,13,10,36515,5,Orbital Sciences Corp.,USA,Vandenberg AFB,Taurus,www.satellitedebris.net 12/12,NaN,1.706932008
"Advanced Orion 2 (NROL 6, USA 139)",USA,National Reconnaissance Office (NRO),Military,Electronic Surveillance,GEO,NaN,35560,36013,0.00537,1436.14,4500,NaN,NaN,35924,NaN,TRW Space and Electronics,USA,Cape Canaveral,Titan IVA,JM/12_08,-0.253072742,0.134739418
"Advanced Orion 3 (NROL 19, USA 171)",USA,National Reconnaissance Office (NRO),Military,Electronic Surveillance,GEO,NaN,35589,35984,0.00468,1436.1,4500,NaN,NaN,37873,NaN,TRW Space and Electronics,USA,Cape Canaveral,Titan IV,JM/12_08,1.665044106,0.055850536
"Advanced Orion 4 (NRO L-26, USA 202)",USA,National Reconnaissance Office (NRO),Military,Electronic Surveillance,GEO,NaN,35714,35937,0.00264,1438.8,5000,NaN,NaN,39831,NaN,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,SC - ASCR,0.767944871,0.050440015
"Advanced Orion 5 (NRO L-32, USA 223)",USA,National Reconnaissance Office (NRO),Military,Electronic Surveillance,GEO,NaN,35500,35500,0,NaN,5000,NaN,NaN,40503,NaN,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,SC - ASCR,1.761037215,0
"Advanced Orion 6 (NRO L-15, USA 237)",USA,National Reconnaissance Office (NRO),Military,Electronic Surveillance,GEO,NaN,35771,35805,4.00E-004,23.94,5000,NaN,NaN,41089,NaN,National Reconnaissance Laboratory(?),USA,Cape Canaveral,Delta 4 Heavy,CalSky,1.047197551,0
"AEHF-1 (Advanced Extremely High Frequency satellite-1, USA 214)",USA,US Air Force,Military,Communications,GEO,NaN,35872,36103,0.00273,1446.36,6169,NaN,NaN,40404,14,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,SC - ASCR,-1.204277184,0.076096355
"AEHF-2 (Advanced Extremely High Frequency satellite-2, USA 235)",USA,US Air Force,Military,Communications,GEO,NaN,35700,35700,0,1306.29,6169,NaN,NaN,41032,14,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,ZARYA,-2.094395102,0.355872634
"AEHF-3 (Advanced Extremely High Frequency satellite-3, USA 246)",USA,US Air Force,Military,Communications,GEO,NaN,35700,35700,0,1306.29,6169,NaN,NaN,41535,14,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,ZARYA,NaN,0.355872634
Aeneas,USA,Department of Homeland Security,Government,Technology Development,LEO,NaN,480,790,0.02213,97.4,3,NaN,NaN,41165,NaN,University of Southern California,USA,Vandenberg AFB,Atlas 5,ZARYA,NaN,0.000349066
Aerocube 4.5A,USA,Aerospace Corporation,Commercial,Technology Development,LEO,NaN,495,791,0.0211,97.5,4.5,NaN,NaN,41165,NaN,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,ZARYA,NaN,1.127482697
Aerocube 4.5B,USA,Aerospace Corporation,Commercial,Technology Development,LEO,NaN,499,792,0.02088,97.6,4.5,NaN,NaN,41165,NaN,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,ZARYA,NaN,1.127482697
Aerocube 5A,USA,Aerospace Corporation,Commercial,Technology Development,LEO,NaN,443,886,0.03149,98,5,NaN,NaN,41614,2,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,ZARYA,NaN,2.09963109
Aerocube 5B,USA,Aerospace Corporation,Commercial,Technology Development,LEO,NaN,443,886,0.03149,98,5,NaN,NaN,41614,2,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,ZARYA,NaN,2.09963109
"Afghansat-1 (Eutelsat 28B, Eutelsat 48B, Eutelsat W2M)",Multinational,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,NaN,35764,35808,0.00052,1436.08,3460,1555,7000,39802,15,EADS Astrium,France,Guiana Space Center,Ariane 5,JM/12_08,0.837758041,0.002094395
"Africasat-1 (Measat 1, Malaysia East Asia Sat 1)",Malaysia,MEASAT Satellite Systems Sdn. Bhd.,Commercial,Communications,GEO,NaN,35784,35787,4.00E-005,1436.06,1450,650,1200,35077,12.2,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L,JM/12_08,0.803375055,0.019547688
Afristar,USA,1Worldspace,Commercial,Communications,GEO,NaN,35770,35802,0.00038,1436.09,2704,1530,5500,36096,15,Matra Marconi Space-France,France,Guiana Space Center,Ariane 44L,JM/12_08,0.365995544,0.000523599
"Agila 2/ABS-5 (Agila 2, Mabuhay 1)",International,Asia Broadcast Satellite,Commercial,Communications,GEO,NaN,35769,35802,0.00039,1436.07,3775,1800,9000,35661,15,Space Systems/Loral,USA,Xichang Satellite Launch Center,Long March CZ3B,JM/12_08,2.549227905,0.000872665
AGILE (Astro-rivelatore Gamma a Immagini Leggaro),Italy,Italian Space Agency,Government,Scientific Research,LEO,NaN,510,534,0.00174,95.1,325,NaN,NaN,39195,3,CarloÊGavazziÊSpace,Italy,Satish Dhawan Space Center,PSLV C8,www.satellitedebris.net 12/12,NaN,0.043633231
AIM (Aeronomy of Ice in Mesosphere),USA,"Center for Atmospheric Sciences, Hampton University/NASA",Government,Earth Science,LEO,NaN,570,583,0.00094,96.2,215,197,216,39197,2,Orbital Sciences Corp.,USA,Vandenberg AFB,Pegasus XL,www.satellitedebris.net 12/12,NaN,1.706932008
AISSat-1 (Automatic Identification System Satellite-1),Norway,Kongsberg Satellite Services (KSAT),Government,Maritime Tracking/Technology Development,LEO,Sun-Synchronous,615,632,0.00122,97.2,6,NaN,NaN,40371,3,Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies,Canada,Sriharikota Launch Station,PSLV,www.satellitedebris.net 12/12,NaN,1.710422667
AIST-1,Russia,"Samara State Aerospace University, SGAU",Civil,Technology Development,LEO,NaN,599,626,0.00193,96.9,NaN,NaN,NaN,41636,NaN,TsSKB Progress,Russia,Plesetsk Cosmodrome,Soyuz 2-1B,ZARYA,NaN,1.438151304
AIST-2,Russia,"Samara State Aerospace University, SGAU",Civil,Technology Development,LEO,NaN,558,582,0.00173,96.06,53,NaN,NaN,41383,3,"Samara State Aerospace University, SGAU",Russia,Baikonur Cosmodrome,Soyuz 2-1A,NaN,NaN,1.132369619
Akebono (EXOS-D),Japan,"Institute of Space and Aeronautical Science, University of Tokyo",Civil,Space Physics,Elliptical,NaN,264,5732,0.29184,150.4,NaN,294,270,32560,1,"Institute of Space and Aeronautical Science, University of Tokyo",Japan,Uchinoura Space Center,Mu 3S2,JMSatcat304,NaN,1.310742268
ALiCEÊÊ(AFIT LEO iMESA CNT E),USA,US Air Force Institute of Technology,Military,Technology Development,LEO,NaN,443,886,0.03149,98,5,NaN,NaN,41614,NaN,US Air Force Institute of Technology,USA,Vandenberg AFB,Atlas 5,ZARYA estimated,NaN,2.09963109
Alphasat I-XLÊÊ(Inmarsat IV-A F4),UK/ESA,"INMARSAT, Ltd./European Space Agency",Commercial/Government,Communications/Technology Development,GEO,NaN,35786,35787,1.00E-005,1436.09,6650,3370,12000,41480,15,Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5 ECA,ZARYA,0.436332313,0.000349066
Alsat-2A (Algeria Satellite 2A),Algeria,Centre National des Techniques Spatiales (CNTS),Government,Earth Observation,LEO,Sun-Synchronous,672,674,0.00014,98.2,130,NaN,NaN,40371,5,EADS Astrium,France/UK/Germany/Spain,Sriharikota Launch Station,PSLV,www.satellitedebris.net 12/12,NaN,1.712167996
Amazonas-1,Brazil,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,GEO,NaN,35776,35797,0.00025,1436.1,4545,2000,9500,38203,15,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M,JM/12_08,-1.06499991,0.000698132
Amazonas-2,Spain,Hispasat,Commercial,Communications,GEO,NaN,35767,35805,0.00045,1436.08,5465,NaN,15300,40087,15,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5,JM/12_09,-1.064650844,0.000523599
Amazonas-3,Spain,Hispasat,Commercial,Communications,GEO,NaN,35781,35791,0.00012,1436.05,6265,2778,14000,41312,15,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,SC - ASCR,-1.064650844,0.000523599
"AMC-1 (Americom 1, GE-1)",USA,SES (Socit Europenne des Satellites (SES)),Commercial,Communications,GEO,NaN,35772,35800,0.00033,1436.1,2783,1600,6500,35316,15,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 2A,JM/12_08,-1.798038195,0.000523599
"AMC-10 (Americom-10, GE 10)",USA,SES (Socit Europenne des Satellites (SES)),Commercial,Communications,GEO,NaN,35775,35797,0.00026,1436.09,2315,907,6500,38022,15,Lockheed Martin,USA,Cape Canaveral,Atlas 2 AS,JM/12_08,-2.355670891,0.000174533
"AMC-11 (Americom-11, GE 11)",USA,SES (Socit Europenne des Satellites (SES)),Commercial,Communications,GEO,NaN,35774,35797,0.00027,1436.07,2340,2316,6500,38126,15,Lockheed Martin,USA,Cape Canaveral,Atlas 2 AS,JM/12_08,-2.28515959,0.000698132
AMC-15 (Americom-15),USA,SES (Socit Europenne des Satellites (SES)),Commercial,Communications,GEO,NaN,35777,35795,0.00021,1436.08,4200,NaN,NaN,38274,15,Lockheed Martin,USA,Baikonur Cosmodrome,Proton M,JM/12_08,-1.833293846,0.000698132
AMC-16 (Americom-16),USA,SES (Socit Europenne des Satellites (SES)),Commercial,Communications,GEO,NaN,35780,35793,0.00015,1436.1,4312,NaN,NaN,38338,15,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 5,JM/12_08,-1.483180798,0.000349066
AMC-18 (Americom 18),USA,SES (Socit Europenne des Satellites (SES)),Commercial,Communications,GEO,NaN,35773,35800,0.00032,1436.1,2081,918,NaN,39059,15,Lockheed Martin Missiles and Space,USA,Guiana Space Center,Ariane 5,JM/12_08,-1.832072116,0.001047198
"AMC-2 (Americom 2, GE-2)",USA,SES (Socit Europenne des Satellites (SES)),Commercial,Communications,GEO,NaN,35774,35798,0.00028,1436.1,2648,1600,6500,35460,15,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 44L,JM/12_08,-1.762433479,0.000872665
AMC-21 (Americom 21),USA,SES (Socit Europenne des Satellites (SES)),Commercial,Communications,GEO,NaN,35778,35793,0.00018,1436.1,2500,NaN,5000,39674,15,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA,JM/12_08,-2.179218104,0.052359878
"AMC-3 (Americom 3, GE-3)",USA,SES (Socit Europenne des Satellites (SES)),Commercial,Communications,GEO,NaN,35777,35795,0.00021,1436.08,2845,1600,6500,35677,15,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 2 AS,JM/12_08,-1.517738318,0.000349066
"AMC-4 (Americom-4, GE-4)",USA,SES (Socit Europenne des Satellites (SES)),Commercial,Communications,GEO,NaN,35781,35791,0.00012,1436.1,3909,2500,NaN,36477,15,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 44LP,JM/12_08,-1.762608012,0.000174533
"AMC-5 (Americom-5, GE-5)",USA,SES (Socit Europenne des Satellites (SES)),Commercial,Communications,GEO,NaN,35777,35796,0.00023,1436.1,1698,769,NaN,36096,15,Alcatel Space Industries,France,Guiana Space Center,Ariane 44L,JM/12_08,-1.377588379,0.000523599
"AMC-6 (Americom-6, GE-6)",USA,SES (Socit Europenne des Satellites (SES)),Commercial,Communications,GEO,NaN,35778,35795,2.00E-004,1436.12,3901,2500,NaN,36821,15,Lockheed Martin Commercial Space Systems,USA,Baikonur Cosmodrome,Proton K,JM/12_08,-1.256287996,0.000872665
"AMC-7 (Americom-7, GE-7)",USA,SES (Socit Europenne des Satellites (SES)),Commercial,Communications,GEO,NaN,35773,35798,3.00E-004,1436.08,1935,912,6500,36783,15,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5G,JM/12_08,-2.390053878,0.000174533
"AMC-8 (Americom-8, GE-8, Aurora 3)",USA,SES (Socit Europenne des Satellites (SES)),Commercial,Communications,GEO,NaN,35773,35798,3.00E-004,1436.07,2015,919,3300,36879,15,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5G,JM/12_08,-2.42600766,0.000523599
"AMC-9 (Americom 9, GE-12)",USA,SES (Socit Europenne des Satellites (SES)),Commercial,Communications,GEO,NaN,35773,35798,3.00E-004,1436.08,4100,2000,10000,37779,15,Alcatel Space Industries,France,Baikonur Cosmodrome,Proton K,JM/12_08,-1.447750615,0.000872665
Amos 2,Israel,Israel Aircraft Industries,Military/Commercial,Communications,GEO,NaN,35778,35794,0.00019,1436.08,1400,646,1900,37982,12,Israel Aircraft Industries (IAI),Israel,Baikonur Cosmodrome,Soyuz-Fregat,JM/12_08,-0.069464104,0.000872665
Amos 3,Israel,Space-Communication Ltd,Military/Commercial,Communications,GEO,NaN,35783,35789,7.00E-005,1436.1,NaN,NaN,NaN,39566,12,Israel Aircraft Industries (IAI),Israel,Baikonur Cosmodrome,Zenit 3SLB,JM/12_08,-0.069638637,0.000698132
Amos 4,Israel,Space-Communication Ltd,Military/Commercial,Communications,GEO,NaN,35633,35796,0.00194,1432,NaN,NaN,NaN,41517,12,Israel Aircraft Industries (IAI),Israel,Baikonur Cosmodrome,Zenit 2SB,NaN,1.134464014,0.000174533
Amos 5,Israel,Space-Communication Ltd,Military/Commercial,Communications,GEO,NaN,35595,36007,0.00488,1436.08,1600,NaN,NaN,40888,15,OAO ISS,Russia,Baikonur Cosmodrome,Proton M,JM/1_12,0.296705973,0.001570796
Amsat-Oscar 7 (AO-7),USA,Amsat-NA,Civil,Amateur Radio,LEO,Sun-Synchronous,1440,1459,0.00121,114.9,29,NaN,NaN,27348,NaN,Amsat-NA,USA,Vandenberg AFB,Delta 2310,www.satellitedebris.net 12/12,NaN,1.769763862
Anik F1,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,GEO,NaN,35778,35793,0.00018,1436.08,4710,2950,15500,36851,15,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L,JM/12_08,-1.872214689,0.000349066
Anik F1R,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,GEO,NaN,35777,35795,0.00021,1436.1,4500,NaN,10000,38604,15,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M,JM/12_08,-1.872738287,0.000349066
Anik F2,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,GEO,NaN,35781,35790,0.00011,1436.08,5910,3805,16000,38186,15,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 5,JM/12_08,-1.9385372,0.000174533
Anik F3,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,GEO,NaN,35778,35794,0.00019,1436.1,4715,NaN,17500,39181,15,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M,JM/12_08,-2.071531289,0.000174533
Anik G1,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,GEO,NaN,35773,35799,0.00031,1436.08,4905,NaN,17500,41379,15,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M,SC - ASCR,-1.872738287,0.000174533
AprizeSat 1 (LatinSat-C),Argentina,Aprize Satellites Argentina,Commercial,Communications (experimental),LEO,Sun-Synchronous,696,764,0.00479,99.4,12,12,NaN,38167,NaN,Aprize Satellite,Argentina,Baikonur Cosmodrome,Dnepr 1,www.satellitedebris.net 12/12,NaN,1.710422667
AprizeSat 2 (LatinSat-D),Argentina,Aprize Satellites Argentina,Commercial,Communications (experimental),LEO,Sun-Synchronous,694,850,0.01092,100.3,12,12,NaN,38167,NaN,Aprize Satellite,Argentina,Baikonur Cosmodrome,Dnepr 1,www.satellitedebris.net 12/12,NaN,1.713913325
AprizeSat 3,USA/Argentina,Aprize Satellite/Latin Trade Satellite,Commercial,Communications/Maritime Tracking,LEO,Sun-Synchronous,563,572,0.00065,97,12,12,NaN,40023,NaN,SpaceQuest,USA,Baikonur Cosmodrome,Dnepr,www.satellitedebris.net 12/12,NaN,1.712167996
AprizeSat 4,USA/Argentina,Aprize Satellite/Latin Trade Satellite,Commercial,Communications/Maritime Tracking,LEO,Sun-Synchronous,604,674,0.00499,97.5,12,12,NaN,40023,NaN,SpaceQuest,USA,Baikonur Cosmodrome,Dnepr,www.satellitedebris.net 12/12,NaN,1.712167996
AprizeSat 5,USA/Argentina,Aprize Satellite/Latin Trade Satellite,Commercial,Communications/Maritime Tracking,LEO,Sun-Synchronous,610,694,0.00598,97.8,12,12,NaN,40772,NaN,SpaceQuest,USA,Dombarovsky Launch Facility,Dnepr 1,www.satellitedebris.net 12/12,NaN,1.713913325
AprizeSat 6,USA/Argentina,Aprize Satellite/Latin Trade Satellite,Commercial,Communications/Maritime Tracking,LEO,Sun-Synchronous,627,694,0.00476,98,12,12,NaN,40772,NaN,SpaceQuest,USA,Dombarovsky Launch Facility,Dnepr 1,www.satellitedebris.net 12/12,NaN,1.713913325
AprizeSat 7,USA/Argentina,Aprize Satellite/Latin Trade Satellite,Commercial,Communications/Maritime Tracking,LEO,Sun-Synchronous,594,653,0.00422,97.17,12,12,NaN,41599,NaN,SpaceQuest,USA,Dombarovsky Launch Facility,Dnepr,ZARYA,NaN,1.706932008
AprizeSat 8,USA/Argentina,Aprize Satellite/Latin Trade Satellite,Commercial,Communications/Maritime Tracking,LEO,Sun-Synchronous,594,669,0.00536,97.99,12,12,NaN,41599,NaN,SpaceQuest,USA,Dombarovsky Launch Facility,Dnepr,ZARYA,NaN,1.706932008
Apstar 1,China (PR),APT Satellite Holdings Ltd.,Commercial,Communications,GEO,NaN,35782,35795,0.00015,1436.21,1383,726,NaN,34536,NaN,Hughes,USA,Xichang Satellite Launch Center,Long March 3,JM/1_12,2.47732034,0.113446401
Apstar 1A,China (PR),APT Satellite Holdings Ltd.,Commercial,Communications,GEO,NaN,35779,35790,0.00013,1436.03,1383,726,NaN,35249,NaN,Hughes,USA,Xichang Satellite Launch Center,Long March 3,JM/1_12,0.898320966,0.102799893
Apstar 6,China (PR),APT Satellite Holdings Ltd.,Commercial,Communications,GEO,NaN,35778,35794,0.00019,1436.08,4680,NaN,NaN,38454,NaN,Alcatel Space Industries,France,Xichang Satellite Launch Center,Long March 3B,JM/12_08,2.339439329,0.000174533
Apstar 7,China (PR),APT Satellite Holdings Ltd.,Commercial,Communications,GEO,NaN,35864,35874,0.00012,1440.31,5054,NaN,NaN,40999,15,Thales Alenia Space,France/Italy,Xichang Satellite Launch Center,Long March 3B,NaN,1.335176878,0.000523599
Arabsat 5C,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,GEO,NaN,35766,35805,0.00046,1436.06,4630,NaN,NaN,40807,15,Astrium/Thales Alenia Space,France,Guiana Space Center,Ariane 5 ECA,JM/1_12,0.348891317,0.001047198
Arabsat 7F (Nimiq 1),Multinational,Arab Satellite Communications Org. (ASCO),Commercial,Communications,GEO,NaN,35778,35794,0.00019,1436.09,3600,1700,8600,36300,12,Lockheed Martin/Spar Aerospace,USA/Canada,Baikonur Cosmodrome,Proton D,JM/12_08,0.776671517,0.000174533
Ardusat-1,USA,NanoSatisfi Inc.,Commercial,Technology Development,LEO,Sun-Synchronous,410,415,0.00019,92.81,1,NaN,NaN,41597,0.25,"NanoSatisfi, Inc.",USA,ISS,JSSOD,ZARYA,NaN,0.901462559
Artemis (Advanced Data Relay and Technology Mission Satellite),ESA,European Space Agency,Commercial/Government,Communications/Research,GEO,NaN,35771,35803,0.00038,1436.12,3105,1500,4600,37084,10,Alenia Spazio,Italy,Guiana Space Center,Ariane 5G,SC - ASCR,0.372802328,0.122696646
AsiaSat 3S (Asiasat 3SA),China (PR),Asia Satellite Telecommunications Co. Ltd. (SES [Socit Europenne des Satellites (SES)]),Commercial,Communications,GEO,NaN,35780,35792,0.00014,1436.07,3480,2500,10000,36240,15,Boeing Satellite Systems,USA,Baikonur Cosmodrome,Proton K,JM/12_08,1.842195025,0.000349066
AsiaSat 4,China (PR),Asia Satellite Telecommunications Co. Ltd. (SES [Socit Europenne des Satellites (SES)]),Commercial,Communications,GEO,NaN,35784,35789,6.00E-005,1436.1,4137,2275,9500,37723,15,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 3B,JM/12_08,2.133490478,0
AsiaSat 5,China (PR),Asia Satellite Telecommunications Co. Ltd. (SES [Socit Europenne des Satellites (SES)]),Commercial,Communications,GEO,NaN,35778,35795,2.00E-004,1436.11,3760,NaN,NaN,40036,15,Space Systems/Loral,USA,Baikonur Cosmodrome,Breeze M,JM/10/09,1.754055898,0
AsiaSat 7,China (PR),Asia Satellite Telecommunications Co. Ltd. (SES [Socit Europenne des Satellites (SES)]),Commercial,Communications,GEO,NaN,35782,35793,0.00013,1436.17,3813,NaN,NaN,40872,15,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M,JM/1_12,1.841322361,0.000349066
AsiaStar,USA,1Worldspace,Commercial,Communications,GEO,NaN,35773,35801,0.00033,1436.15,2775,1530,5600,36606,15,Alcatel Space Industries,France,Guiana Space Center,Ariane 5G,JM/12_08,1.832072116,0.000349066
Astra 1D,Luxembourg,SES (Socit Europenne des Satellites (SES)),Commercial,Communications,GEO,NaN,35776,35795,0.00023,1436.08,2924,1700,3300,34639,15,Hughes,USA,Guiana Space Center,Ariane 42P,JM/12_08,0.544542727,0.020071286
Astra 1E,Luxembourg,SES (Socit Europenne des Satellites (SES)),Commercial,Communications,GEO,NaN,35774,35799,3.00E-004,1436.13,3014,1800,4150,34991,14,Hughes,USA,Guiana Space Center,Ariane 42L,JM/12_08,0.409628775,0.000698132
Astra 1F,Luxembourg,SES (Socit Europenne des Satellites (SES)),Commercial,Communications,GEO,NaN,35778,35797,0.00023,1436.15,3010,1800,4400,35173,15,Hughes,USA,Baikonur Cosmodrome,Proton K,JM/12_08,0.335452282,0.000523599
Astra 1G,Luxembourg,SES (Socit Europenne des Satellites (SES)),Commercial,Communications,GEO,NaN,35780,35791,0.00013,1436.08,3379,3010,6600,35766,15,Hughes,USA,Baikonur Cosmodrome,Proton K,JM/12_08,0.335801348,0.000698132
Astra 1H,Luxembourg,SES (Socit Europenne des Satellites (SES)),Commercial,Communications,GEO,NaN,35776,35794,0.00021,1436.04,3690,2300,6600,36329,15,Hughes,USA,Baikonur Cosmodrome,Proton D,JM/12_08,0.335103216,0.001047198
Astra 1KR,Luxembourg,SES (Socit Europenne des Satellites (SES)),Commercial,Communications,GEO,NaN,35766,35807,0.00049,1436.1,4332,NaN,12000,38827,15,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 5,JM/12_08,0.334405085,0.001396263
Astra 1L,Luxembourg,SES (Socit Europenne des Satellites (SES)),Commercial,Communications,GEO,NaN,35772,35798,0.00031,1436.03,4500,NaN,13000,39206,15,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5 ECA,JM/12_08,0.336848546,0.000872665
Astra 1M,Luxembourg,SES (Socit Europenne des Satellites (SES)),Commercial,Communications,GEO,NaN,35804,35852,0.00057,1438.2,5345,NaN,9900,39757,15,EADS Astrium,France,Baikonur Cosmodrome,Proton M,SC - ASCR 1/09,0.335103216,0.002443461
Astra 1N,Luxembourg,SES (Socit Europenne des Satellites (SES)),Commercial,Communications,GEO,NaN,35715,35780,0.00077,1434.1,5350,NaN,NaN,40761,15,EADS Astrium,France,Guiana Space Center,Ariane 5 ECA,SC - ASCR 9/11,0.492182849,0.002094395
Astra 2A,Luxembourg,SES (Socit Europenne des Satellites (SES)),Commercial,Communications,GEO,NaN,35776,35797,0.00025,1436.12,3635,2500,7000,36037,15,Hughes,USA,Baikonur Cosmodrome,Proton K,JM/12_08,0.491484717,0.001396263
Astra 2B,Luxembourg,SES (Socit Europenne des Satellites (SES)),Commercial,Communications,GEO,NaN,35772,35801,0.00034,1436.11,3315,1400,7800,36783,14,Astrium,France/UK/Germany,Guiana Space Center,Ariane 5G,JM/12_08,0.492531915,0.00122173
Astra 2C,Luxembourg,SES (Socit Europenne des Satellites (SES)),Commercial,Communications,GEO,NaN,35768,35804,0.00043,1436.12,3643,2000,7000,37058,15,Boeing Satellite Systems,USA,Baikonur Cosmodrome,Proton K,JM/12_08,0.492357382,0.00122173
Astra 2D,Luxembourg,SES (Socit Europenne des Satellites (SES)),Commercial,Communications,GEO,NaN,35770,35802,0.00038,1436.1,1420,700,1500,36879,15,Hughes,USA,Guiana Space Center,Ariane 5G,JM/12_08,0.491135652,0.00122173
Astra 2E,Luxembourg,SES (Socit Europenne des Satellites (SES)),Commercial,Communications,GEO,NaN,35781,35793,0.00014,1436.12,6052,NaN,13000,41546,15,EADS Astrium,France,Baikonur Cosmodrome,Proton M,SC - ASCR,0.492182849,0.001919862
Astra 2F,Luxembourg,SES (Socit Europenne des Satellites (SES)),Commercial,Communications,GEO,NaN,35777,35795,0.00021,1436.07,6000,2660,NaN,41180,15,EADS Astrium,France/UK/Germany,Guiana Space Center,Ariane 5 ECA,SC - ASCR,0.492182849,0.001047198
Astra 3A,Luxembourg,SES (Socit Europenne des Satellites (SES)),Commercial,Communications,GEO,NaN,35770,35804,4.00E-004,1436.07,1500,750,1500,37344,10,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L,JM/12_08,0.409803308,0.001047198
Astra 3B,Luxembourg,SES (Socit Europenne des Satellites (SES)),Commercial,Communications,GEO,NaN,35768,35806,0.00045,1436.11,5471,NaN,10000,40319,15,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5 ECA,SC - ASCR,0.410152374,0.001396263
